sub-region,local,Acrostichum_aureum,Acrostichum_danaeifolium,Actinostachys_pennula,Adiantopsis_radiata,Adiantum_abscissum,Adiantum_argutum,Adiantum_cajennense,Adiantum_cinnamomeum,Adiantum_deflectens,Adiantum_delicatulum,Adiantum_diogoanum,Adiantum_dolosum,Adiantum_giganteum,Adiantum_glaucescens,Adiantum_humile,Adiantum_latifolium,Adiantum_lorentzii,Adiantum_lucidum,Adiantum_macrophyllum,Adiantum_obliquum,Adiantum_patens,Adiantum_pectinatum,Adiantum_pentadactylon ,Adiantum_petiolatum,Adiantum_pulverulentum,Adiantum_raddianum,Adiantum_serratodentatum,Adiantum_tenerum,Adiantum_terminatum,Adiantum_tetraphyllum,Adiantum_villosum,Adiantum_windischii,Alsophila_setosa,Alsophila_sternbergii,Amauropelta_oligocarpa,Ananthacorus_angustifolius,Anemia_dentata,Anemia_ferruginea,Anemia_hirsuta,Anemia_hirta,Anemia_hispida,Anemia_nervosa,Anemia_oblongifolia,Anemia_phyllitidis,Anemia_raddiana,Anemia_tomentosa,Anemia_villosa,Asplenium_auriculatum,Asplenium_auritum,Asplenium_claussenii,Asplenium_cristatum,Asplenium_feei,Asplenium_formosum,Asplenium_inaequilaterale,Asplenium_juglandifolium,Asplenium_otites,Asplenium_praemorsum,Asplenium_pumilum,Asplenium_salicifolium,Asplenium_serra,Asplenium_serratum,Azolla_caroliniana,Azolla_filiculoides,Blechnum_austrobrasilianum,Blechnum_occidentale,Blechnum_polypodioides,Bolbitis_serratifolia,Campyloneurum_angustifolium,Campyloneurum_nitidum,Campyloneurum_phyllitidis,Campyloneurum_repens,Ceratopteris_pteridoides,Ceratopteris_thalictroides,Christella_conspersa,Christella_dentata,Christella_hispidula_,Cochlidium_linearifolium,Cochlidium_punctatum,Cochlidium_serrulatum,Crepidomanes_pyxidiferum,Ctenitis_ampla,Ctenitis_deflexa,Ctenitis_distans,Ctenitis_falciculata,Ctenitis_fenestralis,Ctenitis_glandulosa,Ctenitis_nervata,Ctenitis_submarginalis,Cyathea_abreviata,Cyathea_atrovirens,Cyathea_corcovadensis,Cyathea_delgadii,Cyathea_glaziovii,Cyathea_microdonta,Cyathea_phalerata,Cyathea_praecincta,Cyathea_pungens,Cyclodium_guianense,Cyclodium_heterodon,Cyclodium_meniscioides,Cyclosorus_interruptus,Danaea_bipinnata,Danaea_geniculata,Danaea_nodosa,Dennstaedtia_cicutaria,Dennstaedtia_cornuta,Deparia_petersenii,Dicranopteris_flexuosa,Didymochlaena_truncatula,Didymoglossum_angustifrons,Didymoglossum_hymenoides,Didymoglossum_kapplerianum ,Didymoglossum_krausii,Didymoglossum_ovale,Didymoglossum_punctatum,Didymoglossum_reptans,Diplazium_ambiguum,Diplazium_celtidifolium,Diplazium_cristatum,Diplazium_mutilum,Diplazium_plantaginifolium,Diplazium_tabalosense,Doryopteris_collina,Doryopteris_concolor,Doryopteris_pentagona,Doryopteris_raddiana,Doryopteris_rediviva,Doryopteris_sagittifolia,Doryopteris_varians,Elaphoglossum_discolor,Elaphoglossum_glabellum,Elaphoglossum_herminieri,Elaphoglossum_iguapense,Elaphoglossum_lingua,Elaphoglossum_macrophyllum,Elaphoglossum_nigrescens,Elaphoglossum_pachydermum,Gleichenella_pectinata,Goniopteris_abrupta,Goniopteris_biolleyi,Goniopteris_jamesonii,Goniopteris_poiteana,Hecistopteris_pumila,Hemidictyum_marginatum,Hemionitis_palmata,Hemionitis_tomentosa,Hymenasplenium_laetum,Hymenophyllum_apiculatum,Hymenophyllum_hirsutum,Hymenophyllum_polyanthos,Hypolepis_repens,Hypolepis_rigescens,Lastreopsis_amplissima,Lellingeria_suspensa,Lindsaea_divaricata,Lindsaea_falcata,Lindsaea_guianensis,Lindsaea_lancea,Lindsaea_pallida,Lindsaea_quadrangularis,Lindsaea_stricta,Lomariopsis_japurensis,Lomariopsis_marginata,Lycopodium_clavatum,Lygodium_venustum,Lygodium_volubile,Lytoneuron_ornithopus,Macrothelypteris_torresiana,Marsilea_deflexa,Marsilea_minuta,Marsilea_polycarpa,Megalastrum_connexum,Megalastrum_eugenii,Megalastrum_indusiatum,Megalastrum_umbrinum,Megalastrum_wacketii,Meniscium_chrysodioides,Meniscium_hostmannii,Meniscium_longifolium,Meniscium_macrophyllum,Meniscium_serratum,Metaxya_parkeri,Metaxya_rostrata,Mickelia_guianensis,Mickelia_pradoi,Mickelia_scandens,Microgramma_crispata,Microgramma_geminata,Microgramma_lycopodioides,Microgramma_squamulosa,Microgramma_tecta,Microgramma_vacciniifolia,Microlepia_speluncae,Moranopteris_nana,Neoblechnum_brasiliense,Nephrolepis_biserrata,Nephrolepis_cordifolia,Nephrolepis_exaltata,Nephrolepis_pectinata,Nephrolepis_pendula,Nephrolepis_rivularis,Niphidium_crassifolium,Oleandra_brasiliana,Olfersia_cervina,Ophioglossum_nudicaule,Ophioglossum_reticulatum,Palhinhaea_camporum,Palhinhaea_cernua,Parapolystichum_effusum,Pecluma_dulce,Pecluma_hygrometrica,Pecluma_pectinata,Pecluma_pilosa,Pecluma_plumula,Pecluma_robusta,Pecluma_sicca,Pelazoneuron_patens,Phlebodium_aureum,Phlebodium_decumanum,Phlebodium_pseudoaureum,Phlegmariurus_christii,Phlegmariurus_flexibilis,Phlegmariurus_linifolius,Phlegmariurus_mandiocanus,Phlegmariurus_martii,Phlegmariurus_taxifolius,Pityrogramma_calomelanos,Pleopeltis_astrolepis,Pleopeltis_burchellii,Pleopeltis_desvauxii,Pleopeltis_furcata,Pleopeltis_gyroflexa,Pleopeltis_hirsutissima,Pleopeltis_minima,Pleopeltis_monoides,Pleopeltis_pleopeltifolia,Pleopeltis_pleopeltidis,Polybotrya_cylindrica,Polybotrya_osmundacea,Polybotrya_sorbifolia,Polytaenium_cajenense,Polytaenium_citrifolium,Pseudolycopodiella_meridionalis,Psilotum_nudum,Pteridium_caudatum,Pteridium_esculentum,Pteris_altissima,Pteris_biaurita,Pteris_brasiliensis,Pteris_denticulata,Pteris_leptophylla,Pteris_multifida,Pteris_propinqua,Pteris_quadriaurita,Pteris_schwackeana,Pteris_splendens,Pteris_tripartita,Pteris_vittata,Rumohra_adiantiformis,Saccoloma_elegans,Saccoloma_inaequale,Salpichlaena_volubilis,Salvinia_auriculata,Salvinia_biloba,Salvinia_minima,Salvinia_oblongifolia,Schizaea_elegans,Selaginella_conduplicata,Selaginella_convoluta,Selaginella_decomposita,Selaginella_erythropus,Selaginella_flexuosa,Selaginella_muscosa,Selaginella_pellucidopunctata,Selaginella_producta,Selaginella_sellowii,Selaginella_simplex,Selaginella_sulcata,Serpocaulon_catharinae,Serpocaulon_fraxinifolium,Serpocaulon_menisciifolium,Serpocaulon_richardii,Serpocaulon_triseriale,Steiropteris_decussata,Steiropteris_leprieurii,Steiropteris_mexiae,Steiropteris_polypodioides,Stenogrammitis_limula,Sticherus_bifidus,Stigmatopteris_heterocarpa,Stigmatopteris_prionites,Tectaria_incisa,Telmatoblechnum_serrulatum,Trichomanes_arbuscula,Trichomanes_crispum,Trichomanes_cristatum,Trichomanes_pedicellatum,Trichomanes_pilosum,Trichomanes_pinnatum,Trichomanes_polypodioides,Trichomanes_robustum,Triplophyllum_boliviense,Triplophyllum_dicksonioides,Triplophyllum_funestum,Triplophyllum_hirsutum,Vittaria_graminifolia,Vittaria_lineata
BNs,BAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP,EGA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BNs,SVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNs,SVT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNs,SNG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNs,SMC,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
BNs,SCA,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BNs,VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CEP,RCD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CEP,PDI,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
CEP,MSJ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CEP,EET,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
